University_name,Region,Founded_year,Motto,UK_rank,World_rank,Minimum_IELTS_score,UG_average_fees_(in_pounds),PG_average_fees_(in_pounds),International_students,Student_satisfaction,Academic_staff,Control_type,Academic_Calender,Campus_setting,Estimated_cost_of_living_per_year_(in_pounds),Website
University of Cambridge,East of England,1209,"From here, light and sacred draughts",1,4,6.5,21750,23187,20.20%,85.50%,"over-5,000",Public,Trimesters,Urban,12000,www.cam.ac.uk
University of Oxford,South East England,1096,The Lord is my light,2,2,6.5,21770,19888,16.80%,86.50%,"over-5,000",Public,Trimesters,Urban,11500,www.ox.ac.uk
University of St Andrews,Scotland,1413,Ever to excel,3,86,6.5,17040,15440,40.40%,87.90%,"1,000-1,499",Public,Semesters,Suburban,12000,www.st-andrews.ac.uk
Imperial College London,London,1907,Knowledge is the adornment and safeguard of the Empire,4,8,6.5,23500,29900,41.40%,77.90%,"4,000-4,499",Public,Continuous,Urban,10700,www.ic.ac.uk
Loughborough University,East Midlands,1966,"With Truth, Knowledge and Labour",5,404,5.5,16400,16400,22.00%,85.80%,"1,500-1,999",Public,Semesters,Suburban,9398,www.lboro.ac.uk/
London School of Economics and Political Science,London,1895,To know the causes of things,6,23,6.5,17040,24500,46.80%,68.50%,"1,500-1,999",Public,Semesters,Urban,12000,www.lse.ac.uk
Durham University,North East England,1832,Her foundations are upon the holy hills,7,70,5.5,14900,18000,17.20%,75.00%,"1,500-1,999",Public,Trimesters,Urban,8000,www.dur.ac.uk
Lancaster University,North West England,1964,Truth lies open to all,8,130,5.5,14940,14200,29.60%,79.30%,"2,000-2,499",Public,Trimesters,Rural,8500,www.lancs.ac.uk
University College London,London,1826,Let all come who by merit most deserve reward,9,14,6.5,15660,17250,36.10%,75.40%,"over-5,000",Public,Other,Urban,11500,www.ucl.ac.uk
University of Warwick,West Midlands,1965,Mind Moves matter,10,80,5.5,15820,24500,28.30%,79.20%,"2,500-2,999",Public,Trimesters,Suburban,9580,www.warwick.ac.uk
University of Bath,South West England,1966,Learn each field of study according to its kind,11,261,5.5,14300,15000,21.70%,81.80%,"1,000-1,499",Public,Semesters,Suburban,11000,www.bath.ac.uk
University of Exeter,South West England,1955,We follow the light,12,93,5.5,15500,15500,21.20%,80.10%,"2,500-2,999",Public,Semesters,Suburban,8400,www.exeter.ac.uk
University of Leeds,Yorkshire and the Humber,1904,And Knowledge Will Be Increased,13,133,5.5,13500,14000,11.80%,80.40%,"3,500-3,999",Public,Semesters,Urban,7000,www.leeds.ac.uk
University of Birmingham,West Midlands,1900,"Through hard work, great heights are achieved",14,119,5.5,13860,14850,12.70%,77.90%,"4,000-4,499",Public,Continuous,Urban,9000,www.bham.ac.uk
University of Bristol,South West England,1909,Learning promotes one's innate power,15,69,5.5,15200,14800,14.90%,77.20%,"3,000-3,499",Public,Semesters,Urban,7000,www.bris.ac.uk
University of Glasgow,Scotland,1451,"The Way, the Truth and the Life",16,76,5.5,14500,14500,20.80%,78.20%,"4,000-4,499",Public,Semesters,Urban,8000,www.gla.ac.uk
Harper Adams University,Wales,2012,Useful and agreeable,17,2840,4.5,8500,10000,5.10%,82.40%,100-199,Public,Other,Rural,6000,www.harper-adams.ac.uk
University of Manchester,North West England,1824,"Knowledge, wisdom, humanity",18,56,5.5,14500,14500,25.00%,77.20%,"over-5,000",Public,Semesters,Urban,9800,www.manchester.ac.uk
"Royal Holloway, University of London",South East England,1849,"To be, rather than to seem",19,129,5.5,13200,13900,27.40%,80.60%,"1,000-1,499",Public,Semesters,Suburban,7500,www.rhul.ac.uk
University of Southampton,South East England,1952,The Heights Yield to Endeavour,20,110,5.5,14660,15160,18.30%,78.60%,"2,500-2,999",Public,Semesters,Suburban,7200,www.soton.ac.uk
